Start Timestamp;End Timestamp;Transcript
00:00;00:10;"time crisis there comes a time when a crisis cannot be live when we must dig"
00:10;00:19;"into the bank of EPS and within the bank of EPS there EPS where we must dig into"
00:19;00:26;"the mailbag and what do we pull from the mailbag we pull emails and this is"
00:26;00:32;"time crisis with Ezra King"
00:32;00:36;"Peaceful Mind 1"
01:21;01:29;"time crisis bank in the EPS well Jake here we are down in the EPSM mines down"
01:29;01:34;"in the EPSM salt bank just banking the EPS down in the vault down in the vault"
01:34;01:40;"- from the vault here's two hours of time crisis from the vault but never"
01:40;01:49;"released 2017 EPS considered too spicy now I have become death destroyer of"
01:49;01:54;"worlds we figured for this episode time crisis has some very thoughtful"
01:54;01:59;"listeners and we've gotten so many great emails so we figured today on this bank"
01:59;02:03;"tap we could just dig into the mailbag because there's so much stuff we've"
02:03;02:06;"actually been meaning to do this actually this is perfect yep so we might"
02:06;02:10;"as well dive right in because I know these great emails are gonna probably"
02:10;02:13;"take us on some flights of fancy so today on time crisis we're digging deep"
02:13;02:19;"into the mailbag and here's one we got let's go to the time crisis mailbag is a"
02:19;02:24;"fairly recent one I think this is a great email it's from Zeb the subject"
02:24;02:30;"linguistics on TC American buffness what's up sorry this got kind of long no"
02:30;02:33;"problem my friend I was listening to a new track by indie rockers vampire"
02:33;02:37;"weekend called unbearably white and was tickled by your Ezra's use of the word"
02:37;02:41;"buff we discussed this a little bit on the show the week that unbearably white"
02:41;02:45;"came out the word buff made it in obviously I've heard you say it on the"
02:45;02:48;"show a few times and has made its way into the general discourse of my friend"
02:48;02:52;"group I like that Jake is a major node I feel like that's something like a"
02:52;02:57;"linguistics professor might study the spread of the word buff right so you"
02:57;03:01;"heard it directly from Kyle field aka little wings yes I did and do you know"
03:01;03:07;"where exactly he got it from I texted him yeah yesterday oh sick and I was like"
03:07;03:10;"dude what is the backstory on buff yeah did you make it up or did you hear it"
03:10;03:15;"somewhere he said he heard it from Tim bloom okay who's Tim bloom Tim bloom is"
03:15;03:19;"a guy that has a band called the mother hips uh-huh they've been around for like"
03:19;03:23;"20 years yeah if you're interested in like regional bands that have like"
03:23;03:28;"regional success uh-huh the mother hips might be one of them in LA California"
03:28;03:32;"yeah like we play with him in Big Sur they play in like in Chico a lot they"
03:32;03:38;"play like a lot in California what kind of music rock and roll yeah not jamming"
03:38;03:42;"jamming Oh jam you rock and yeah okay and so Tim is one of Kyle's good"
03:42;03:47;"friends and he's like a surfer but also really a skier okay"
03:47;03:51;"according to Kyle Kyle's like emphasis on skier and I was like okay well that"
03:51;03:56;"crew like the surfer skier crews come up with their own lingo that's classic like"
03:56;04:00;"they're an innovative bunch yeah language wise yeah and I kind of press"
04:00;04:05;"him for more details he didn't have them so it starts with Tim"
04:05;04:09;"it's all right"
04:09;04:11;"Oh"
04:26;04:28;"Oh"
04:43;05:10;"Oh"
05:10;05:14;"okay so clearly at some point we got a bank it up with Tim Bloom yeah Tim Bloom"
05:14;05:18;"story because then the question is yeah is it literally just Tim Bloom's crew or"
05:18;05:25;"do other skier type dudes be like oh yeah buff of course yeah like oh dude"
05:25;05:30;"like although you would think there's so many other like moguls on Emerald's"
05:30;05:34;"landing and that black diamond were buff off the funny thing is a lot of other"
05:34;05:39;"words that you associate with I guess like extreme sports at least in like the"
05:39;05:44;"80s and 90s of skateboarding snowboarding skiing yeah surfing became"
05:44;05:48;"real household words yeah gnarly gnarly shredding actually that's a good"
05:48;05:52;"question could you shred on guitar before you like shredded on a skateboard"
05:52;05:57;"yeah Kyle Field little wings mm-hmm he wrote a trilogy of songs called the"
05:57;06:01;"shredder about an aging skateboarder okay not about a shredder at like a"
06:01;06:06;"guitar center yep an aging skateboarder Wow we're raising more questions than"
06:06;06:11;"we're answering right now okay so anyway at least we know we've identified one"
06:11;06:17;"branch of the contagion tree from Tim Bloom yeah Kyle Field little wings to"
06:17;06:23;"Jake Longstreet to time crisis to Zeb and his group of friends that is a"
06:23;06:29;"confirmed contagion chain we got a quarantine it now shut it down shut this"
06:29;06:35;"all down ground all flights we cannot let the word buff leave America it's too"
06:35;06:42;"late Japan has halted off incoming flights and all trade with America until"
06:42;06:45;"they figure this thing out folks we're gonna shut it down"
06:45;06:50;"oh god talk about buff America is definitely the most buff country oh my"
06:50;06:54;"god America 2019 buff"
07:04;07:07;"sure"
07:07;07:09;"Oh"
07:19;07:38;"out where the shredder can't be me I practice moves out in the yard that way"
07:38;07:57;"the landings are so hard you've seen it in a magazine it's not as easy as it"
07:57;08:11;"seems when you're bow bearings rust you'll eat my dust call it a favor"
08:11;08:15;"sooner or later"
08:15;08:19;"you're gonna fall"
08:19;08:21;"Oh"
08:21;08:23;"Oh"
08:34;08:51;"they filled the pool the other day when all the neighborhood complained"
08:51;09:18;"it's just a quarter after three and there's no where we've gotta be down at the ditch beneath the sun"
09:18;09:24;"shredder takes another run"
09:24;09:32;"my heart is free to ride away"
09:32;09:40;"were you expecting it to stay"
09:44;09:56;"when you're bow bearings rust you'll eat my dust call it a favor sooner or later"
09:56;10:00;"you're gonna fall"
10:00;10:05;"okay so back to Zeb while I was listening to the song my favorite of the"
10:05;10:09;"new singles by the way thank you Zeb I think that's an all-time VW myself I"
10:09;10:14;"became curious about the etymology of the term while my degree is in biology"
10:14;10:20;"and chemistry class of 2017 a buff tight 8 if there ever was one tight 8 do you"
10:20;10:26;"not remember tight 8 no what's that that came from TC man oh okay so clearly this"
10:26;10:30;"is the linguistics episode tight 8 is a phrase that has its origin on the"
10:30;10:36;"American Internet radio show time crisis I believe we were talking about that a"
10:36;10:40;"tight 8 is when you're four years of high school and you're four years of"
10:40;10:44;"college although we didn't want to be elitist so I think we almost said it"
10:44;10:50;"could also just count whatever age 14 to 22 but those eight years of like early"
10:50;10:55;"adulthood into it whatever you want to call that transition teen dude teenage"
10:55;10:59;"years teenage years well no because then you get your early 20s to you know your"
10:59;11:04;"mm-hmm your high school years into your 14 to 22 is a hell of a yeah jump that's"
11:04;11:08;"a big one but those incredibly transformative eight years we were"
11:08;11:14;"saying that if you are blessed to have all eight of those years in the same"
11:14;11:19;"decade you my friend had a tight 8 oh okay talked about it because Jake you"
11:19;11:27;"had a tight 8 and I did not 91 to 99 I mean yeah you're just like king of the"
11:27;11:32;"90s yeah dude just high school into college all 90s hell yeah dude"
11:32;11:38;"whereas mines random as hell I entered high school 98 and exited 2006 you"
11:38;11:43;"entered in and left in different worlds from Clinton to Bush yeah it was all"
11:43;11:47;"over 9/11 dude I think maybe when we had that conversation about the tight it I"
11:47;11:51;"was saying like I was kind of glad I went to high school and college in such"
11:51;11:55;"a random time because I was you know like I just like checked out yeah well"
11:55;11:58;"actually I guess you could answer that question because we're exactly eight"
11:58;12:03;"years in apart seven I think well what year were you 77 over seven yeah right"
12:03;12:10;"cuz now days between the days between our 1977 to 84 the only years when Jake"
12:10;12:14;"and I were not on the planet together that's TC cannon there'll be another"
12:14;12:18;"that's TC can in the days between there's I'm sad to say there's gonna be"
12:18;12:25;"a second days between yeah the years in between our deaths oh my god unless we"
12:25;12:29;"die together I'll be kind of beautiful in a weird way yeah and they're"
12:29;12:33;"officially is only one days between the TC camping trip goes off the rails"
12:33;12:37;"god they never came back man I was up in the middle of the night last night I"
12:37;12:42;"felt the earthquake oh really yeah there was an earthquake last night I was not"
12:42;12:45;"aware I don't think it would have woken me up if I wasn't already awake but I"
12:45;12:48;"was kind of staring at the ceiling and then I just felt like the house like"
12:48;12:52;"lurch damn I was like whoa is that like the house settling or did something fall"
12:52;12:55;"on the roof and then I was like oh yeah I forgot I'm in LA see sometimes I get"
12:55;12:59;"stressed about that because all like the real Angelino's that I know they have"
12:59;13:02;"these traumatic memories of the Northridge earthquake and they they"
13:02;13:06;"remember stuff from school and like you know well they used to tell us we should"
13:06;13:08;"go in the doorframe but now they say go and look you whatever all this stuff and"
13:08;13:12;"I was just like realized like I don't know the basics in the same way it's"
13:12;13:15;"hard for me to imagine what would happen anyways I wake up in the middle of the"
13:15;13:19;"night I hear the house lurch broadly grab my phone and I look at Twitter and"
13:19;13:23;"search earthquake Cardi B happened to be up in LA so she tweeted about it very"
13:23;13:28;"cool and then I see somebody tweet about some kind of like weird earthquake"
13:28;13:31;"predictor guy and they were all freaked out because he's been predicting a big"
13:31;13:35;"one right around now and most scientists would say you can't predict earthquakes"
13:35;13:39;"and this is a dude who's like I swear you can and so some people are into him"
13:39;13:44;"imagine if between the today's taping and when this airs that there's a giant"
13:44;13:48;"earthquake and we died on the same time well at least we reminded people about"
13:48;13:52;"the days between back to the email this is gonna take like an hour and a half to"
13:52;13:55;"get through this email that's what we're banking the EPS yeah I was fortunate"
13:55;13:58;"enough to take a few linguistics courses at school and I've been fascinated by"
13:58;14:02;"the subject ever since an exhaustive 90-second Google search left me with no"
14:02;14:09;"recorded definition of buff adjective that fit its usage on TC UW unbearably"
14:09;14:12;"white or my own conversations I therefore have to speculate on the"
14:12;14:16;"etymology because you're hitting up Kyle we're just trying to establish the chain"
14:16;14:20;"of who told who that doesn't really help with the etymology my first hypothesis"
14:20;14:25;"for the etymology of buff is that it is a portmanteau of brutal and rough that's"
14:25;14:28;"crossed my mind actually too because when I was writing unbearably white"
14:28;14:31;"there's a part of me that's like you know this song it's like a fairly"
14:31;14:36;"serious song does the word buff take people too much out of it and I was like"
14:36;14:41;"I like that mix of tones but of course I thought it'd be very easy to say"
14:41;14:45;"unbearably rough or unbearably tough I was like those would go down a lot"
14:45;14:48;"easier nobody and I was like no buff just sounds better it's cool so rough"
14:48;14:52;"crossed my mind I was like oh yeah rough tough and buff all rhyme that can't be a"
14:52;14:56;"coincidence so could it be a portmanteau of brutal and rough and for people who"
14:56;14:58;"don't know although I think it's probably pretty obvious a portmanteau is"
14:58;15:02;"a word that combines a couple what are some of the classic port I mean the word"
15:02;15:06;"portmanteau is a portmanteau in French Seinfeld what are some classic portmanteaus"
15:06;15:11;"oh man off the top of my head I'm not sure but let me crunch those numbers"
15:11;15:15;"number here I think this is my first number crunch it's coming back good to"
15:15;15:20;"have you back thank you banking the eps and crunching the numbs"
15:20;15:22;"Oh"
15:22;15:24;"go to bed again"
15:28;15:30;"when I get up"
15:30;15:32;"all I wanna do is go to bed again"
15:32;15:34;"go to bed again"
15:38;15:40;"I could watch some TV"
15:40;15:42;"maybe"
15:42;15:44;"I could go under my covers and hide"
15:44;15:46;"out the window"
15:46;15:48;"and I could"
15:48;15:50;"go to bed again"
15:50;15:52;"out the window"
15:52;15:54;"bluebirds singing"
15:54;15:56;"those bluebirds"
15:56;15:58;"ain't on my"
15:58;16:00;"side"
16:00;16:02;"when I get up"
16:02;16:04;"all I wanna do is go to bed again"
16:04;16:06;"go to bed again"
16:10;16:12;"when I get up"
16:12;16:14;"all I wanna do is go to bed again"
16:14;16:16;"go to bed again"
16:22;16:24;"if I go back"
16:24;16:26;"to my"
16:26;16:28;"dreamland"
16:28;16:30;"you might be"
16:30;16:32;"waiting for me"
16:32;16:34;"that's where"
16:34;16:36;"I know I'm"
16:36;16:38;"wanted"
16:38;16:40;"that's where I"
16:40;16:42;"want to be"
16:42;16:44;"guitar solo"
16:46;16:48;"oh"
16:48;16:50;"guitar solo"
16:58;17:00;"when I get up"
17:00;17:02;"all I wanna do is go to bed again"
17:02;17:04;"go to bed again"
17:06;17:08;"guitar solo"
17:08;17:10;"when I get up"
17:10;17:12;"all I wanna do is go to bed again"
17:12;17:14;"go to bed again"
17:16;17:18;"when I get up"
17:18;17:20;"all I wanna do is go to bed again"
17:20;17:22;"go to bed again"
17:28;17:30;"alright, oh"
17:30;17:32;"classic one from pop culture, Brangelina"
17:32;17:34;"oh yeah, so all those couple names"
17:34;17:36;"oh sure, yeah, Glamping"
17:36;17:38;"Glamour and Camping"
17:38;17:40;"Mansplaining"
17:40;17:42;"ok, I've seen people get into"
17:42;17:44;"I'm about to mansplain that to you"
17:44;17:46;"fellas, no we're, ok"
17:46;17:48;"I'm mansplaining to you"
17:48;17:50;"I have also seen people like question if it's"
17:50;17:52;"a true portmanteau if one of the words"
17:52;17:54;"is entirely contained within"
17:54;17:56;"cause like the thing about glamping"
17:56;17:58;"is that you don't get the whole part of"
17:58;18:00;"glamour and you don't get the whole camping, whereas with"
18:00;18:02;"mansplaining you get the whole man"
18:02;18:04;"I don't know what the definition is"
18:04;18:06;"it's kind of maybe just like a less"
18:06;18:08;"smooth portmanteau, it's like an imperfect rhyme"
18:08;18:10;"well mansplaining is weird cause it's a noun and a verb"
18:10;18:12;"it doesn't quite, Brangelina"
18:12;18:14;"has Brad in it, no no"
18:14;18:16;"it's Brangelina, well Angelina"
18:16;18:18;"oh yeah you're right, it has Angelina in it"
18:18;18:20;"ok, Brangelina, we're throwing that one out"
18:20;18:22;"Glamping is a good one, keep going"
18:22;18:24;"what are some like real pure ones, Mockumentary"
18:24;18:26;"we got Mock in here, we got Mock"
18:26;18:28;"Metrosexual, you got"
18:28;18:30;"both, no cause that's metropolitan"
18:30;18:32;"I think I lost the plot here, I don't know what the distinction"
18:32;18:34;"is here, whatever, what are we"
18:34;18:36;"losing or retaining?"
18:36;18:38;"part"
18:38;18:40;"there's no complete word, it's"
18:40;18:42;"a true, one part of one word"
18:42;18:44;"it's a true mix em up, one part of the other word"
18:44;18:46;"combined it's a new word"
18:46;18:48;"you know what the classic American one is, it's very LA"
18:48;18:50;"Smog, Fog and what's"
18:50;18:52;"Smog, Smoke"
18:52;18:54;"oh Smoke, Spork"
18:54;18:56;"Spoon and Fork"
18:56;18:58;"Smog's good, Smog is a good one"
18:58;19:00;"Smog is a"
19:00;19:02;"small frog, you could have a lot of fun with"
19:02;19:04;"that too, that'd be an imaginative"
19:04;19:06;"game to maybe play in a car ride"
19:06;19:08;"making up fake backstories for"
19:08;19:10;"portmanteaus, get it trending"
19:10;19:12;"used to run down to the creek with my little brother"
19:12;19:14;"and catch smogs, something like that"
19:14;19:16;"let me, I want to get a couple more portmanteaus"
19:16;19:18;"Workaholic, I was loving"
19:18;19:20;"these portmanteaus, Work and"
19:20;19:22;"Alcoholic, ok, Shopaholic"
19:22;19:24;"I guess that's like Workaholic but with"
19:24;19:26;"Spanglish, that's a true portmanteau"
19:26;19:28;"Spanish and English"
19:28;19:30;"you know also I think if we talked"
19:30;19:32;"about this on the show, in LA there's a lot of"
19:32;19:34;"portmanteaus of intersections"
19:34;19:36;"like the Wiltern Theater's at the"
19:36;19:38;"corner of Wilshire and Western"
19:38;19:40;"what else? you know there's like a Whole Foods in"
19:40;19:42;"West Hollywood, that's at the corner of"
19:42;19:44;"Santa Monica and Fairfax and that shopping"
19:44;19:46;"plaza is called Sanfair"
19:46;19:48;"not as smooth as Wiltern"
19:48;19:50;"right, oh here's one that you don't realize is a portmanteau"
19:50;19:52;"Bionic, Biology"
19:52;19:54;"and uh, Electronic"
19:54;19:56;"oh you know we forgot the most obvious"
19:56;19:58;"one of all, man, I'm disappointed in us"
19:58;20:00;"yeah? Brunch"
20:00;20:02;"oh dude, that is"
20:02;20:04;"the truest portmanteau, I think the two"
