Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Time Crisis, Chicago edition. Jake and I are here in the Windy City. We got sick of listening"
00:07;00:13;"to all those bank depths and we decided to pull something fresh out for the TC community."
00:13;00:18;"We're joined by Brendan Kelly, member of the Lawrence Arms and creator of the Nihilist"
00:18;00:25;"Arby's account. All that, plus Mountain Bruise, a rundown of the Father's Day show, and so"
00:25;00:35;"much more. This is Time Crisis with Ezra King. Beats 1."
01:20;01:27;"Time Crisis, back once again. Chicago edition. Just to give the whole context, we're recording"
01:27;01:34;"this on Monday, the day after Father's Day. Yesterday was the big Chicago show. Huntington"
01:34;01:40;"Bank Pavilion, Richard Pictures, Chicano Batman, Vampire Weekend. Biggest show of the tour so"
01:40;01:45;"far. Really? The final estimate is 17,000 people in the building. Whoa. It's literally"
01:45;01:51;"twice as big as our last biggest Chicago show. Really? The last time there was a proper Vampire"
01:51;01:58;"Weekend headline show was at this small arena at UIC and I think that's like eight. Wow."
01:58;02:03;"Big show. Cold show. Freezing. Yeah, that was a shocker. Right on the lake. Cold wind"
02:03;02:08;"blowing in. Yeah. I thought you guys might drop a cold rain and snow. I would have been"
02:08;02:13;"sick. But. Very topical. Never in my wildest dreams did I think that our June Father's"
02:13;02:16;"Day show in Chicago was going to be that cold. Right. This has been on the books for months"
02:16;02:21;"and I was kind of looking forward to like a hot, humid, outdoor gig. Yeah, maybe like"
02:21;02:26;"a pleasant breeze off Lake Michigan to cool things down a little bit. Well, I think the"
02:26;02:30;"Chicago people were shocked too. Yeah. It was atypical weather. So the low yesterday"
02:30;02:37;"was 55 degrees, but I think with wind chill and like the lake factor. Upper 40s maybe."
02:37;02:42;"I'd say lower 40s, man. Damn. I felt like I was standing in like 43 degrees. I've been"
02:42;02:46;"talking about lakes a lot because the past week I feel like a real Midwesterner now."
02:46;02:51;"I've basically lived in the Midwest for the past nine days. We started the tour in Toronto"
02:51;02:58;"and after that Indianapolis into Wisconsin, Minnesota, two nights in Ohio, back here,"
02:58;03:02;"Illinois. So I had some interesting conversations in Cleveland because there's a guy in our"
03:02;03:06;"crew who lives in Akron. So we had a day off in Cleveland. So he was kind of psyched to"
03:06;03:10;"go, you know, see his family and stuff. Rock and roll hall of fame. I think ZT and Bay"
03:10;03:13;"went to the rock and roll hall of fame. I've never been. But I was talking to the dude"
03:13;03:17;"who lives in Akron and he was like, the weather in Cleveland is so different. And I was like,"
03:17;03:21;"how far apart is it? And he's like 30. And he was like, but yo, in the winter, you're"
03:21;03:25;"not going to catch me coming to Cleveland, man. It's freezing. Oh, because of the lake."
03:25;03:29;"Yeah. No, like the lake makes a really big deal. It's like, it's so it's kind of like"
03:29;03:34;"weird microclimates. You can live in a suburb of Cleveland or Chicago and like a very different"
03:34;03:38;"weather than being right on the lake. I guess it's obvious for people. The bodies of water,"
03:38;03:42;"folks. The great lakes, folks. But you hear that, like you hear about like San Francisco,"
03:42;03:46;"like all those microclimates. You don't think about that with Ohio. Yeah. There's probably"
03:46;03:52;"somebody somewhere who lives in Akron, gets a job in Ohio, you know, and they're like,"
03:52;03:57;"all right, you've got to start like, you know, keeping a fleece in the car. All spring. Dressing"
03:57;04:05;"layers. Yeah. Just like Game of Thrones, saying goodbye to the family south of the wall in"
04:05;04:07;"Akron, heading into Cleveland."
04:07;04:28;"I'm so hot for her, I'm so hot for her, I'm so hot for her, she's so cold. I'm so hot for her, I'm on fire for her. I'm so hot for her, she's so cold. I'm the burning bush, I'm the
burning fire, I'm the bleeding volcano."
04:28;04:42;"I'm so hot for her, I'm so hot for her, I'm so hot for her, she's so cold."
04:42;05:03;"I tried rewiring her, I tried refiring her, I think her engine's permanently stalled. She's so cold, she's so cold, she's so cold, cold, cold, like a tooth stone. She's
so cold, she's so cold, she's so cold, cold, cold, like an ice cream cone."
05:03;05:10;"She's so cold, she's so cold, where I touch her, my hand just froze."
05:10;05:20;"Anyway, hell of a night last night. Great show. Yeah, it was wild, despite the weather. You guys sounded great. Oh, thanks. I was worried about my voice. What, you woke
up feeling a little choky?"
05:20;05:32;"I had a cold and yeah, I woke up, my voice is super low and just like, uh, because I've just been coughing for two weeks straight, basically. And some of those songs, we hit
some upper notes. Yeah, the harmony sounded amazing."
05:32;05:42;"Thank you. I did proper vocal warm-up technique. Yeah. John, the other singer, taught me some proper technique and I was doing that. And it paid off. I felt like a real
musician. Yeah."
05:42;05:53;"Doing my vocal warm-ups, drinking my like throat coat tea. I've been doing a lot of vocal warm-ups and, cause I was nervous cause on this tour now, we're playing so much
longer than we used to."
05:53;06:00;"Was that like two and a half hours? Last night was two and a half. That is epic. We're basically hitting the curfew every night. That's awesome. It's fun."
06:00;06:10;"Oh yeah, I was watching that cause I was side stage. Cause we have our little clock on stage. And there's the clock right there. Yeah. We had the same clock and it seemed
like the house was pretty like adamant about like, you need to be done at this time."
06:10;06:18;"We'd never had a reason to even talk about this before, but now that we play longer and also this tour has been a lot of outdoor shows, there's been a lot more talk about
curfew. Right."
06:18;06:31;"Like our crew puts a little sign backstage and also letting us know if the curfew is hard or soft. Right. So hard curfew, you know, you go past 11, it could be $2,500 a
minute. It could be $10,000 a minute."
06:31;06:48;"So you're incurring like insane fines. I bet like in New York or something, maybe Chicago, like big cities, you're going into like 10. So how does that work? If you guys
like the final crescendoing fading notes of the song and at like 11 o'clock in like three seconds, like what do you think they'd actually..."
06:48;07:01;"Well, if it's truly a hard curfew, they could. We were somewhere where they're like, all right guys, tonight is soft curfew. As long as you begin the last song by 10.59
and you're done by like, let's say 11.05, you're all good. Right."
07:01;07:09;"I was asking like, do people actually monitor this? And they're like, oh yeah. Apparently like when you play the Hollywood Bowl, the city like sends a dude with a
decibel meter for like the whole show. Wow."
07:09;07:21;"Cause you get fined for going over the decibel limit too. I mean, yeah, people live around the Hollywood Bowl. I don't think anybody lives that close to the Huntington
bank pavilion on Northerly Island."
07:21;07:28;"So yeah, so two and a half hours though. And you guys, you had about 70 seconds left on the curfew."
07:28;07:41;"Yeah. Well we know, you know, we have a good sense of how long certain songs are and stuff. Yes. I was just nervous about having to sing that much more, but yeah, I've been
doing my vocal exercises, doing it on days off too. That's something I didn't know about."
07:41;07:44;"I should do mine today. Yeah. So have all the shows been two and a half hours?"
07:44;07:49;"Chicago was extra long. I'd say generally like 2.10, 2.15. Such a great length."
07:49;08:01;"Now I'm starting to understand like the, what's cool about it. Cause I used to just feel like, are we going to like lose people? And the truth is even if people check out a
little bit in the middle, maybe that's when they want to get a beer or something."
08:01;08:05;"Well, first of all, the people in the front definitely aren't checked out. They're like, ""They're starting Dark Star. I'm going to get a beer."""
08:05;08:12;"Yeah. I mean, I got to put myself in their shoes and be like, I've been at shows I like where I might do that. Not that I'm seeing that. I just get nervous about it."
08:12;08:24;"Right. And then you kind of realize like, okay, there's going to be moments later in the show that kind of get everybody, get the energy back up. And you're kind of like,
it feels like more of a journey when you get over two hours."
08:24;08:28;"It always used to be a tight 75. Yeah. I feel like you're just getting warmed up."
08:28;08:32;"Well, I mean that the Webster Hall show, which you did some live reporting from. That was epic."
08:32;08:40;"That was three sets, but all in all we were on stage for four hours and 36 minutes, which is longer than the longest Bruce Springsteen show ever."
08:40;08:42;"Hats off to you, man. Which is how long?"
08:42;08:47;"Four hours, seven minutes. Which is probably continuous."
08:47;08:51;"Yeah. We took breaks and had pizza and chilled and stuff. So yeah, that's a continuous show."
08:51;08:56;"I wonder what the longest Dead show is. I mean, they would do two sets, but like, wouldn't surprise me if they were right."
08:56;09:01;"I feel like a whole Grateful Dead experience could easily be four or five hours because there's the long break in the middle."
09:01;09:04;"Right. Well, the whole experience, but I'm talking time on stage."
09:04;09:07;"Yeah. We should get a number crunch on that. Too bad Seinfeld couldn't come out."
09:07;09:08;"Yeah. We're missing him."
09:08;09:13;"That's a bummer. Four hours and 40 minutes is the longest Dead set. So that's very close."
09:13;09:14;"Wait, four hours and what?"
09:14;09:15;"40 minutes."
09:15;09:17;"Oh yeah. What was yours? Four hours and 36?"
09:17;09:18;"36."
09:18;09:19;"Wow."
09:19;09:22;"Almost. But broken up into three sets. That's when it gets weird."
09:22;09:24;"Okay. So the longest Springsteen show was 403."
09:24;09:26;"Okay. That's intense."
09:26;09:35;"I think when you get past into the three, four hour range, it's okay. But I think people maybe should like know ahead of time."
09:35;09:40;"Because you know, it's like if you're going to go to see like an opera and people are like, ""Yo, this opera is crazy. It's five hours."""
09:40;09:44;"But you get a dinner break in the middle, you'd be like, ""All right. Interesting. I'm mentally prepared for this."""
09:44;09:46;"But if you're kind of just like, ""Okay."""
09:46;09:48;"Standing at a loud rock show."
09:48;09:53;"Yeah. Well, I think once you have the schedule, you can roll with anything."
09:53;09:59;"GBV's doing a New Year's show. 100 songs for $100 at Terragram in LA. I bought tickets."
09:59;10:03;"Okay. Oh, so there's not going to be, that means no Richard Pictures New Year's show?"
10:03;10:07;"Well, here's the thing. I bought tickets. Hannah's not interested."
10:07;10:10;"That was more of an investment. You're going to be selling them on the secondary market."
10:10;10:11;"The show is sold."
10:11;10:12;"For a tremendous markup."
10:12;10:17;"If things go my way, I'll end up at the show. But I'm willing to not go to the show and sell the tickets."
10:17;10:24;"Who's this D-bag selling GBV tickets for $1,000 for the New Year's show?"
10:24;10:30;"Jake just going out for a steak and champagne dinner with those GBV profits on New Year's."
10:30;10:32;"Scalper over here."
10:32;10:36;"That's a cool concept, though. How long do you think that'll be? Because they have some very short songs."
10:36;10:41;"I bet that, yeah, see, they'll do a lot of songs that are like a minute probably, but I still think it'll be like four hours."
10:41;10:47;"Because their shows aren't normally like 2.15, 2.30, and they do like 50 or 60 songs."
10:47;10:50;"Oh, that's amazing. So yeah, plus extra New Year's banter."
10:50;10:57;"Right. I bet it'll be four hours. And I noticed it was like, I think music starts at eight. No opener."
10:57;10:58;"Or maybe they start at nine."
10:58;11:00;"Close out with an Auld Lang Syne."
11:00;11:01;"That'd be sweet."
11:01;11:02;"That's going to be quite a scene."
11:02;11:08;"Save us from our own little thing called hope"
11:08;11:16;"Make this our right and only good enough"
11:16;11:24;"This is the road we'd like to travel away"
11:24;11:27;"And I will wait"
11:31;11:33;"Please be honest"
11:33;11:41;"You could go to the world I should know"
11:41;11:46;"Shakespeare's honor"
11:46;11:52;"Take a painted smile and quit the run"
11:52;11:57;"You're a guest, oh, you should know"
11:57;12:01;"There was a lot happening yesterday at the Chicago show."
12:01;12:05;"So Nick, your son Max was out as a roving reporter."
12:05;12:06;"Oh yeah."
12:06;12:07;"What did he get up to?"
12:07;12:09;"Well, you know he's a big TC head."
12:09;12:11;"He's one of the youngest TC heads. How old is he?"
12:11;12:12;"Seven and a half."
12:12;12:15;"Is this show appropriate for a seven year old?"
12:15;12:19;"It's hard to remember. Do we ever get into anything where you're just like, Max, we'll talk about that?"
12:19;12:22;"What's like the spiciest thing we talk about?"
12:22;12:28;"I feel like if the show had a rating in front of it, it would occasionally say like sexual themes, language."
12:28;12:31;"I guess once in a blue moon, some like sex talk jumps out."
12:31;12:33;"Truly rarely."
12:33;12:34;"Yeah."
12:34;12:36;"Also Apple beeps all the language."
12:36;12:37;"They do?"
12:37;12:40;"Okay. I gotta start listening back."
12:40;12:49;"So no, you know, for the most part, just the idea that we go so deep on corporate food history is more just that he finds it interesting at all is bizarre."
12:49;12:50;"Yeah, it's kind of a miracle."
12:50;12:57;"He was really hooked when we did the diet Coke thing, when we were just listening to that diet Coke ad."
12:57;12:58;"Oh yeah, yeah."
12:58;13:01;"The Gillian Jacobs one where she..."
13:01;13:02;"Because I can."
13:02;13:04;"Here's the thing about diet Coke."
13:04;13:09;"It's delicious."
