Start Timestamp;End Timestamp;Transcript
00:00;00:10;"Welcome back. Today on the show, we have new music from Vampire Weekend. We're joined in the studio by producer Ariel Rechshied."
00:10;00:22;"We catch up with Mahali from Twiddle to learn even more about Jamflow Man. Plus, we link up with Seinfeld 2000 and talk about his exile in Japan."
00:22;00:26;"This is quite the stacked episode. This is..."
00:26;00:34;"Time Crisis with Ezra King. B-b-b-b-b-b-b-sport one."
01:20;01:26;"Time Crisis back once again. I'm sitting here in the Time Crisis headquarters with Jake. What's up, Jake?"
01:26;01:27;"Hey."
01:27;01:31;"And we're also joined by producer Ariel Rechshied. What's up, Ariel?"
01:31;01:33;"Not much."
01:33;01:43;"We had Ariel back in the building partially because this is the first Time Crisis ever where Vampire Weekend has new music out. I think. Yeah, of course."
01:43;01:45;"Because it started after MVOTC."
01:45;01:47;"Oh, yeah. Well after."
01:47;01:48;"We're like three plus years in."
01:48;01:50;"Really? Oh, my God."
01:50;01:52;"I want to say it started..."
01:52;01:53;"Wait, how many episodes? This is episode..."
01:53;01:55;"Like summer of 15."
01:55;01:56;"And this is episode 85?"
01:56;01:57;"Yep."
01:57;02:03;"So that means the Time Crisis universe has existed for roughly 190 weeks."
02:03;02:04;"Yep."
02:04;02:05;"Oh, yeah. That's well over three years."
02:05;02:07;"So it started a couple years after?"
02:07;02:10;"Yeah. It was totally after the modern vampires period."
02:10;02:12;"So Time Crisis is random as hell."
02:12;02:14;"Yeah, Time Crisis is pretty random as hell."
02:14;02:22;"Oh, that's funny. I started doing... As I've done like a little press for the album and did some radio shows, a few people, Bob Boylan brought up Time Crisis."
02:22;02:27;"I think some of these interviews show me a little more respect now that they know I'm also in the radio game."
02:27;02:30;"Not just some dumbass in a band."
02:30;02:33;"Do you think he had heard the show or just like read the Wikipedia page?"
02:33;02:34;"He said he'd heard the show."
02:34;02:38;"He said, ""I think one of the episodes I listened to, you did a whole thing about Doritos."""
02:38;02:41;"And I was like, ""That could be quite a few episodes."""
02:41;02:45;"But anyway, I guess, should we just play the songs in case people haven't heard them?"
02:45;02:46;"Let's dive in."
02:46;02:54;"All right. So these songs came out this past Thursday and these are the first two songs anybody's heard from the album."
02:54;02:57;"Now everybody knows the album title. It's Father of the Bride."
02:57;03:00;"There were some good guesses though for FOTB."
03:00;03:02;"There were some really good ones."
03:02;03:05;"Frog on the bass drum, F*** Out of the Bodega."
03:05;03:06;"I like that one."
03:06;03:09;"Fall of the Bourgeoisie. There's a lot of Fall of the Somethings."
03:09;03:12;"Well, here's some other good ones that were compiled."
03:12;03:16;"These are some of the more TC adjacent ones."
03:16;03:19;"Fans of Twiddle Band."
03:19;03:24;"That's perfect because we're actually going to talk to Mahali from Twiddle later today."
03:24;03:27;"You thought we were just leaving it with one Jamflow Man episode?"
03:27;03:29;"That's not the TC way."
03:29;03:31;"Freezers of the Basement."
03:31;03:33;"Oh my God."
03:33;03:35;"Oh, also Feeling Old, That's Brutal."
03:35;03:40;"Oh yeah. And they specified in Jake Longstreet's voice, ""Feeling Old, That's Brutal."""
03:40;03:42;"@mmullin4IG."
03:42;03:46;"Mark Hoppus from Blink 182 guessed Panic at the Disco."
03:46;03:50;"Little does he know how much we talk about Panic at the Disco on the show."
03:50;03:54;"A lot of people were doing Tom Brady things. F*** off Tom Brady."
03:54;03:58;"So everybody hates Tom Brady just because he's great at football and cheats. That's it."
03:58;04:01;"I'm not a football guy. Yeah, there's Deflategate."
04:01;04:03;"Right, but everybody admits he's a very good quarterback,"
04:03;04:06;"but they just think he undermines his talent by cheating."
04:06;04:08;"Sports Talk on TC."
04:08;04:11;"Everybody's got Super Bowl fee- you know what, forget about Vampire Weekend for a second, guys."
04:11;04:14;"This just didn't get the Super Bowl coming up."
04:14;04:18;"Actually, I did one interview where one of the questions they asked was like, ""Who's your Super Bowl pick?"""
04:18;04:21;"And I was like, I really had to rack my brain to remember who's playing."
04:21;04:23;"Uh, Patriots probably?"
04:23;04:24;"Rams, man."
04:24;04:26;"I mean, I shouted out the Rams."
04:26;04:27;"That's big."
04:27;04:31;"Well, anyway, I would never say f*** off Tom Brady just because I feel connected to New England."
04:31;04:32;"I like New England."
04:32;04:36;"But I think this is a big deal that the Rams are in the Super Bowl, right?"
04:36;04:40;"Yeah, I don't know how many- I can't- is this the second year the Rams have been back in L.A.?"
04:40;04:41;"Second or third."
04:41;04:42;"Third."
04:42;04:43;"It's like a brand new team, right?"
04:43;04:44;"Yeah."
04:44;04:45;"Clearly, they're very good."
04:45;04:46;"Yeah."
04:46;04:47;"Very talented."
04:47;04:48;"Yeah, I know nothing."
04:48;04:49;"Very talented."
04:49;04:50;"I don't know anything."
04:50;04:51;"Can you name the QB of the Rams?"
04:51;04:52;"No."
04:52;04:53;"Can you name a single person on the Rams?"
04:53;04:54;"Nope."
04:54;04:55;"The coach?"
04:55;04:56;"Mm-mm."
04:56;04:57;"I know he's young."
04:57;04:58;"Can you name anybody on the Patriots?"
04:58;04:59;"Besides Tom Brady?"
04:59;05:00;"Can you name the quarterback of the Patriots?"
05:00;05:01;"It's not Tom Brady, is it?"
05:01;05:02;"Yeah."
05:02;05:03;"It is?"
05:03;05:04;"Yeah."
05:04;05:05;"I know the coach of the Patriots."
05:05;05:06;"Bill Belichick."
05:06;05:07;"Yep."
05:07;05:08;"Okay."
05:08;05:10;"Oh, and Gronk is on the Patriots."
05:10;05:13;"F*ck off Tom Brady are L.A. fans?"
05:13;05:14;"Well, everybody hates Tom Brady."
05:14;05:15;"Right."
05:15;05:16;"Everybody who's not from New England hates Tom Brady."
05:16;05:19;"Is there like a political thing that makes people-"
05:19;05:20;"Wildly."
05:20;05:22;"There's photos of him on the golf course with Trump."
05:22;05:23;"Yeah."
05:23;05:24;"Right."
05:24;05:25;"And Trump's like a- Trump is a big fan."
05:25;05:26;"And who's he married to?"
05:26;05:27;"Somebody that makes people angry, right?"
05:27;05:28;"Gisele."
05:28;05:29;"Right."
05:29;05:30;"Okay."
05:30;05:35;"So, he's got a mix of various attributes because he's a quarterback for the Patriots."
05:35;05:38;"He's a very good athlete."
05:38;05:41;"But then he's got his international supermodel wife."
05:41;05:47;"And people seem to pick on him almost as if he's like not a real athlete because he like"
