Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Time Crisis back once again on this week's Time Crisis"
00:04;00:07;"We dig into the mailbag"
00:07;00:12;"We talk about the top hits of 1978 and today all that"
00:12;00:17;"Plus one more trip to the Butterfinger Fountain. That's right"
00:17;00:20;"This is a very special"
00:20;00:25;"crispity crunchity peanut buttery edition of"
00:26;00:30;"Time Crisis with Ezra King"
00:30;00:32;"BBB Peace"
00:32;00:34;"One"
00:35;00:37;"They passed me by"
00:37;00:39;"All of those great romances"
00:39;00:43;"Do what I felt were beneath"
00:43;00:46;"All my rightful chances"
00:46;00:50;"My picture clear"
00:50;00:53;"Everything seemed so easy"
00:53;00:58;"And so I dealt to the floor"
00:58;01:01;"When the bus had to go"
01:02;01:05;"Now it's different. I want you to know"
01:05;01:24;"Time crisis back again. What's up, jake? Not much. How you doing feeling good? You know one thing I realized"
01:24;01:28;"We probably should talk about in the last episode is that we actually went and saw goose"
01:28;01:31;"Yep, which because we first heard about goose on the show"
01:32;01:39;"Mm-hmm. We probably should at least report on a little bit. Yeah, I thought about that too. I was like, oh we missed the goose recap"
01:39;01:40;"Yeah, yeah"
01:40;01:42;"so for anybody who uh"
01:42;01:49;"Doesn't remember maybe a new listener. This is their first their first episode of time crisis a few episodes back"
01:49;01:52;"a friend of the show steven heiden"
01:52;01:58;"Rock critic and podcaster his bio on twitter is the wing of american rock critics"
01:59;02:05;"Okay. So yeah, so you first and foremost identifies as rock critic. Yeah, the wean of rock critics american rock critics"
02:05;02:07;"He had jacob about a new jam band"
02:07;02:13;"Called goose and he thought jake might be interested because they're straight out of norwalk, connecticut. Yeah, they have a great name"
02:13;02:18;"They're from connecticut and they're jam band. Yeah, and this show is very jam band friendly. We"
02:18;02:24;"Well, I think he became hip to this show because of our legendary twiddle episode and then this summer"
02:24;02:28;"Vampire weekend's touring with twiddle it all comes full circle. That's crazy"
02:29;02:33;"You got to come out for the mountain run man. Would love to so when we went and saw goose"
02:33;02:35;"Well, we didn't know this was at the troubadour"
02:35;02:41;"In west hollywood what we didn't know is that they were on tour opening for uh pigeons playing ping pong"
02:41;02:46;"So you had fans from both acts and probably a lot of shared fans there"
02:46;02:49;"But we thought we were just going to see a goose show and we're actually seeing them opening"
02:49;02:52;"But I think at this point they're both"
02:52;02:57;"Popping jam bands. They probably could have played the show solo either one of them. Oh sure"
02:57;02:59;"It was a real flock versus flock"
02:59;03:02;"Right situation. We we asked goose about this a little bit"
03:02;03:05;"So basically for people who have no idea what we're talking about"
03:05;03:09;"Goose is an up-and-coming jam band pigeons playing ping pong a little more established"
03:09;03:13;"Pigeons playing ping pong are from uh, I think the baltimore area, maryland"
03:13;03:16;"And being that they have pigeons in their name"
03:16;03:22;"Their fans are called the flock and I think when they were starting out goose's fans are also called the flock"
03:22;03:27;"So it's a bit of a makes a lot of sense. They both make sense. You can't fault either one of them"
03:27;03:29;"I mean, I don't think it's a plagiarism situation"
03:29;03:32;"But I think there might have been a bit of a standoff"
03:32;03:38;"About like who's going to change their fan base name and maybe it was the goose fans stood down relented"
03:38;03:40;"You can't have two flocks you could"
03:40;03:45;"Yeah, I guess why not? I guess if two flocks join they become one big flock. Yeah"
03:45;03:48;"I mean that night at the tribidor felt like one big flock and there weren't"
03:48;03:55;"Just rolling up on a random jam band fan in front of the tribidor which flock you with oh me i'm goose"
03:56;03:58;"anyway, this is uh"
03:58;04:03;"The second jam band show that we've been to together at the tribidor. The other was twiddle"
04:03;04:08;"And the first thing you notice when you see a jam band show at the tribidor is you suddenly don't feel like you're in"
04:08;04:15;"Southern california anymore infamously hostile jam band territory. You feel like maybe you're in boulder, colorado"
04:15;04:18;"eugene, oregon"
04:18;04:22;"Burlington vermont ashland, oregon ashland, oregon band oregon"
04:23;04:29;"Missoula, montana, norwalk, connecticut. Oh, yeah, new paltz, new york western, mass. Is that a yeah?"
